station_name,section,content,keywords,type
"","基本資訊","- 日文名稱：東京駅
- 站點編號：JR / 丸之內線 M-17
- 性質：東京最大的交通樞紐，全日本新幹線網最大、最完整的聚集站","undefined,基本資訊,info","info"
"","可搭乘路線","- **新幹線**：東海道新幹線、山陽新幹線、東北新幹線、山形新幹線、秋田新幹線、北海道新幹線、上越新幹線、北陸新幹線
- **JR線**：中央線、京濱東北線、山手線、東海道線（上野東京線、宇都宮線、高崎線、常磐線）、京葉線、武藏野線、橫須賀線、總武線（含成田EXPRESS）
- **地下鐵**：東京Metro丸之內線","undefined,可搭乘路線,tip","tip"
"","月台分布","- **地面上月台**：1-10號為JR月台，14-23號為新幹線月台
- **地面下月台**：京葉線、橫須賀線、總武線（含N'EX）","undefined,月台分布,tip","tip"
"","轉乘注意事項","- 車站分為「八重洲側」（東側）和「丸之內側」（西側）
- 「北自由通路」可自由穿越八重洲、丸之內兩側，不需出站
- **京葉線轉乘警告**：
  - 月台位於**地下五層**（深度27m），距離極遠。
  - 轉乘路線包含 **4 段電扶梯、2 段電動步道**，全程約 **15 分鐘**。
  - 沿途雖有明確指標，但若攜帶**大型行李**或推嬰兒車，強烈建議**預留充足時間**或考慮改搭**直達巴士**（例如前往迪士尼）。
- 橫須賀線、總武線（含N'EX）在丸之內中央口直下處","undefined,轉乘注意事項,warning","warning"
"","京葉線替代進站方式（推薦）","- 京葉線月台雖然名義上在東京車站，實際位置在車站南側，離**有樂町站更近**
- 從JR有樂町站下車，走「京橋口」或「國際フォーラム口」出站
- 往東京國際論壇方向走（可定位「Tokyo International Forum Side Square」）
- 此路線比從東京車站主體轉乘更短更省時","undefined,京葉線替代進站方式（推薦）,tip","tip"
"","出口指南","| 出口 | 位置 | 附近設施 |
|------|------|----------|
| 八重洲北口 | 地面上 | 大丸百貨、TOKYO TORCH、京成巴士 |
| 八重洲中央口 | 地面上 | 大丸百貨、JR高速巴士、日本橋高島屋 |
| 八重洲南口 | 地面上 | JR高速巴士、GRANSTA東京 |
| 八重洲地下中央口 | 地面下 | 東京車站一番街、東京拉麵街 |
| 丸之內北口 | 地面上 | 新丸之內大廈、皇居、丸之內仲通 |
| 丸之內中央口 | 地面上 | 皇居、東京車站大飯店、車站建築攝影點 |
| 丸之內南口 | 地面上 | 丸之內大廈、KITTE丸之內、丸之內紅磚廣場 |","undefined,出口指南,info","info"
"","前往迪士尼","- 搭乘京葉線至舞濱站，車程約15分鐘
- 從JR驗票口到京葉線月台需步行約14-20分鐘，務必預留時間","undefined,前往迪士尼,tip","tip"
"","前往成田機場","- 搭乘N'EX成田特快，不到1小時可抵達
- 月台位置：丸之內中央口地下3、4號月台
- 也可搭乘京成巴士「TYO-NRT」，1,300日圓直達","undefined,前往成田機場,tip","tip"
"","基本資訊","- 日文名稱：新橋駅
- 性質：上班族聖地（薪水族之街），前往台場的重要轉乘點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線、東海道線、橫須賀線
- **地下鐵**：東京Metro銀座線、都營淺草線
- **新交通**：百合海鷗號 (Yurikamome) - 往台場方向","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **往台場（百合海鷗號）**：
  - 出站後請找「烏森口」或「汐留口」方向，百合海鷗號車站為獨立建築，需出站步行約 3-5 分鐘。
  - 沿途有明顯的「ゆりかもめ」藍色標示。
- **銀座線轉乘**：
  - 銀座線新橋站位置較淺，轉乘 JR 相當快速，約 3 分鐘。
- **橫須賀線**：
  - 月台位於地下深處，轉乘 JR 山手線需預留 5-8 分鐘。
- **銀座線轉淺草線**：
  - 地下通道雖然相連，但指標略顯混亂，建議預留 5-8 分鐘轉乘時間。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **日比谷口**：著名的「SL廣場」所在地，常有電視採訪，也是主要的相約地點。
- **烏森口**：往西口商店街、百合海鷗號轉乘。
- **銀座口**：往銀座 8 丁目方向。","undefined,出口指南,info","info"
"","景點推薦","- **SL 廣場**：站外的蒸汽火車頭，是著名的集合地點，也是觀察日本上班族文化的好地方。","undefined,景點推薦,tip","tip"
"","基本資訊","- 日文名稱：浜松町駅
- 性質：前往羽田機場的門戶（單軌電車轉乘站），鄰近東京鐵塔。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線
- **單軌電車**：東京單軌電車 (Tokyo Monorail) - 往羽田機場
- **地下鐵（大門站）**：都營大江戶線、都營淺草線（需出站步行約 2-4 分鐘）","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **往羽田機場（單軌電車）**：
  - **重要**：JR 濱松町站與單軌電車站有**專用轉乘閘門**，不需出站即可直接轉乘。
  - 位於車站 3 樓，指標非常清晰。
  - **直達羽田**：單軌電車「快速」列車僅需 13-15 分鐘即可抵達羽田機場第 3 航廈。
- **前往東京鐵塔**：
  - 從「北口」出站，直走經過增上寺，步行約 15 分鐘。
- **轉乘地下鐵（大門站）**：
  - 濱松町站與大門站名義上不同站，但實際距離極近。
  - 從 JR 北口出站，前方十字路口即為大門站入口。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **北口**：往大門站、增上寺、東京鐵塔、舊芝離宮恩賜庭園。
- **南口**：往濱松町巴士總站、世界貿易中心大樓。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：上野駅
- 性質：東京北玄關，可搭乘新幹線及前往成田機場","undefined,基本資訊,info","info"
"","上野地區共有4個「上野」站","1. **JR上野站**：最主要的車站
2. **東京Metro銀座線上野站**：往淺草、銀座、澀谷
3. **東京Metro日比谷線上野站**：往秋葉原、築地、六本木
4. **京成上野站**：往成田機場（獨立建築，步行5分鐘）","undefined,上野地區共有4個「上野」站,tip","tip"
"","JR上野站可搭乘路線","- 京濱東北線（往橫濱方向）
- 山手線（往秋葉原、東京方向）
- 常磐線（往茨城方向）
- 新幹線：東北新幹線、山形新幹線、秋田新幹線、上越新幹線、北陸新幹線、北海道新幹線","undefined,JR上野站可搭乘路線,tip","tip"
"","轉乘注意事項","- JR上野站剪票口都在地上，地下鐵則在地下
- 銀座線和日比谷線在地下相通
- 京成上野站是獨立建築，需出站步行約5分鐘
- 6個「上野」站實際上由地下巨大通道相連，雨天很便利","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **中央剪票口**：主要出口
- **不忍剪票口**：往阿美橫丁最近
- **公園剪票口**：往上野公園、動物園最近
- **淺草口**：往淺草方向","undefined,出口指南,info","info"
"","前往成田機場（從京成上野站）","| 交通方式 | 時間 | 費用 |
|----------|------|------|
| Skyliner | 約41分鐘 | 2,570日圓 |
| ACCESS特急 | 約59分鐘 | 約1,270日圓 |
| 京成本線特急 | 約70分鐘 | 1,060日圓 |","undefined,前往成田機場（從京成上野站）,tip","tip"
"","從JR上野站到京成上野站","1. 從JR中央剪票口出站
2. 直走到八重洲側出口
3. 過馬路後直走約5分鐘即達","undefined,從JR上野站到京成上野站,tip","tip"
"","基本資訊","- 日文名稱：浅草駅
- 性質：東京觀光重要景點，雷門、淺草寺所在地","undefined,基本資訊,info","info"
"","淺草共有4個車站","1. **東京Metro銀座線淺草站**：最便利，離雷門步行約3分鐘
2. **都營淺草線淺草站**：可直達成田機場、羽田機場、押上（晴空塔）
3. **東武淺草站**：往日光、鬼怒川溫泉
4. **筑波快線淺草站**：往秋葉原、筑波（距離較遠，步行約10分鐘）","undefined,淺草共有4個車站,tip","tip"
"","各站往雷門的走法","**銀座線**：
- 從1號出口出站，往左前方直走約1分鐘

**都營淺草線**：
- 從A4出口出站，往右直走，遇大馬路左轉
- 有大型行李請從A2-b出口（電梯）

**東武線**：
- 從2F剪票口出站，下樓梯後過馬路左轉
- 位於EKIMISE商業大樓內

**筑波快線**：
- 從A1出口出站，沿國際通直走約5分鐘
- 遇雷門通左轉，再走約5分鐘","undefined,各站往雷門的走法,tip","tip"
"","轉乘注意事項","- 銀座線和都營淺草線在地下相通
- 都營淺草線可直達晴空塔（押上站），僅3分鐘
- 東武線往日光：特急約1小時20分鐘
- 東武線往鬼怒川溫泉：特急約2小時10分鐘","undefined,轉乘注意事項,warning","warning"
"","前往機場","| 目的地 | 路線 | 時間 | 費用 |
|--------|------|------|------|
| 成田機場 | 都營淺草線「機場快特」| 約1小時 | 1,290日圓 |
| 羽田機場 | 都營淺草線「機場快特」| 約35分鐘 | 620日圓 |","undefined,前往機場,tip","tip"
"","基本資訊","- 日文名稱：秋葉原駅
- 性質：電器街、動漫文化聖地","undefined,基本資訊,info","info"
"","秋葉原共有3個車站","1. **JR秋葉原站**：山手線、京濱東北線、中央線/總武線
2. **東京Metro日比谷線秋葉原站**：往六本木、銀座、築地
3. **筑波快線秋葉原站**：往淺草（4分鐘）、筑波","undefined,秋葉原共有3個車站,tip","tip"
"","前往電器街的方法","**從JR（山手線/京濱東北線）**：
1. 2F月台下樓梯到1F
2. 找「電器街剪票口」標示
3. 出剪票口後往「電器街北口」方向
4. 以紅色Sega遊戲中心為目標直行

**從JR（總武線）**：
1. 3F月台找「電器街剪票口」標示
2. 搭手扶梯下到1F
3. 走法同上

**從日比谷線**：
1. 從3號出口出站
2. 看到Yodobashi Akiba後，沿店鋪入口左側通道穿過
3. 經JR中央剪票口前，往東西自由通道直行

**從筑波快線**：
1. 從A1出口出站後左轉
2. 往東西自由通道直行","undefined,前往電器街的方法,tip","tip"
"","轉乘注意事項","- JR「電器街口」是最便利的出口
- 日比谷線出口距離電器街稍遠，需步行約5-8分鐘
- 從淺草搭筑波快線僅需4分鐘（210日圓）","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：錦糸町駅
- 性質：墨田區的商業中心，擁有大型購物商場（Arcakit, Termina, OLINAS），遠眺晴空塔。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：總武線（各站停車）、總武快速線
- **地下鐵**：東京Metro半藏門線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **JR 轉乘半藏門線**：需出站轉乘。從 JR「北口」出站後，過馬路即可到達地下鐵入口，步行約 3 分鐘。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **北口**：往 Arcakit 購物中心、錦糸公園、晴空塔方向。
- **南口**：往 Yodobashi Camera、Termina 商場、繁華飲食街。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：月島駅
- 性質：文字燒（Monjayaki）的故鄉，下町風情與高樓住宅並存。","undefined,基本資訊,info","info"
"","可搭乘路線","- **地下鐵**：東京Metro有樂町線、都營大江戶線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **有樂町線 ⇄ 大江戶線**：兩線在地下相交，轉乘動線清晰，約需 3-5 分鐘。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **7號出口**：最靠近「月島文字燒一條街（もんじゃストリート）」。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：築地駅 / 築地市場駅
- 性質：築地場外市場所在地，海鮮美食勝地。","undefined,基本資訊,info","info"
"","可搭乘路線","- **築地站**：東京Metro日比谷線
- **築地市場站**：都營大江戶線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **兩站不相連**：日比谷線「築地站」與大江戶線「築地市場站」名義上不同站，步行約需 8-10 分鐘。前往市場前請確認搭乘路線。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **日比谷線 築地站 1號/2號出口**：往築地本願寺、場外市場。
- **大江戶線 築地市場站 A1出口**：直達場外市場入口。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：茅場町駅
- 性質：證券金融街，鄰近日本橋。","undefined,基本資訊,info","info"
"","可搭乘路線","- **地下鐵**：東京Metro東西線、日比谷線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **高低差轉乘**：東西線月台位於地下 2 樓，日比谷線位於地下 1 樓，轉乘動線較短，但尖峰時段人潮擁擠。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **東西線側**：往日本證券交易所。
- **日比谷線側**：往靈嚴寺方向。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：押上駅（スカイツリー前）
- 站點編號：都營淺草線 A-20
- 性質：東京晴空塔最近的車站","undefined,基本資訊,info","info"
"","可搭乘路線","- 都營淺草線
- 京成線（往成田機場）
- 半藏門線
- 東武線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- 直通東京晴空塔及Soramachi商場
- 從淺草搭都營淺草線僅需3分鐘（180日圓）
- 可直達成田機場（京成線）","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：池袋駅
- 性質：東京西北部重要交通樞紐","undefined,基本資訊,info","info"
"","可搭乘路線","- JR：山手線、埼京線、湘南新宿線
- 東京Metro：丸之內線、有樂町線、副都心線
- 西武池袋線
- 東武東上線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **東西口攻略**：
  - 東口（西武側）與西口（東武側）地名與百貨名稱相反，極易混淆。
  - **連接通道**：請利用「北通路」、「中央通路」或「南通路」穿越東西兩側。
  - **地下迷宮**：若迷路，請務必回到「地面」尋找地標（如西武百貨招牌）。
  - **副都心線**：月台位於車站西側深處，轉乘 JR 需預留 10 分鐘。","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：新宿駅
- 性質：金氏世界紀錄認證「最繁忙車站」，結構極其複雜的迷宮。","undefined,基本資訊,info","info"
"","出口戰略 (生死攸關)","- **東口 (East Exit)**：歌舞伎町、Lumine Est、Don Quijote。人潮最擁擠。
- **西口 (West Exit)**：東京都廳、小田急百貨、機場巴士乘車處（往羽田/成田）。辦公區為主。
- **南口 (South Exit)**：新宿御苑、巴士總站 (Busta Shinjuku)、高島屋。
- **東南口**：往 Flags、與南口相通。
- **警告**：嚴禁在地下試圖從東口亂走去西口，極易迷路。請利用明確標示的「東西自由通路」。","undefined,出口戰略 (生死攸關),info","info"
"","轉乘陷阱","- **大江戶線**：有兩個站。「新宿站」位於南口深處（地下 7 層）；「新宿西口站」位於西口。兩者雖相連但步行需 15 分鐘，轉乘前務必確認目的地。
- **私鐵轉乘**：小田急線和京王線位於西口側。京王線轉乘 JR 建議利用「中央西口」。","undefined,轉乘陷阱,warning","warning"
"","基本資訊","- 日文名稱：渋谷駅
- 性質：年輕人文化中心，地形高低差大（谷地地形）。","undefined,基本資訊,info","info"
"","垂直移動地獄","- **銀座線**：位於 3F (高架月台)，近期已移設至較便利位置，但仍需上樓。
- **副都心線/東橫線**：位於 B5 (地下深處)。
- **警告**：從銀座線轉乘副都心線，垂直移動距離極大，包含 4 段長扶梯，需預留 10-15 分鐘。","undefined,垂直移動地獄,tip","tip"
"","出口指引","- **八公口 (Hachiko Exit)**：十字路口、澀谷109、Center街。人潮最洶湧。
- **宮益坂口**：Hikarie、澀谷Sky (Scramble Square)。
- **新南口**：距離主站體極遠（約 500m），除非去該區域飯店，否則切勿由此出站。","undefined,出口指引,info","info"
"","基本資訊","- 日文名稱：日暮里駅
- 性質：往成田機場的重要轉乘站","undefined,基本資訊,info","info"
"","可搭乘路線","- JR：山手線、京濱東北線、常磐線
- 京成線（往成田機場）
- 舍人線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- Skyliner停靠站，前往成田機場僅36分鐘
- 從JR轉乘京成線需要出站
- 適合住在山手線沿線的旅客前往機場","undefined,轉乘注意事項,warning","warning"
"","路線特色","- 連接成田機場與羽田機場的「神路線」
- 北端與京成線直通（往成田機場）
- 南端與京急線直通（往羽田機場、橫濱）","undefined,路線特色,tip","tip"
"","主要車站","| 車站 | 特色 | Airport快特停車 |
|------|------|-----------------|
| 押上 | 晴空塔 | ✓ |
| 淺草 | 雷門、淺草寺 | ✓ |
| 藏前 | 文青咖啡街區 | ✗ |
| 淺草橋 | 可轉乘JR總武線 | ✗ |
| 人形町 | 甘酒橫丁、小網神社 | ✗ |
| 東銀座 | 歌舞伎座、銀座 | ✗ |
| 新橋 | 可轉乘百合海鷗號往台場 | ✓ |
| 大門 | 東京鐵塔 | ✓ |
| 三田 | 可轉乘JR | ✓ |
| 泉岳寺 | 與京急線分歧點 | ✓ |
| 戶越 | 戶越銀座商店街 | ✗ |
| 西馬込 | 終點站 | ✗ |","undefined,主要車站,tip","tip"
"","搭車秘訣","- **重要**：除了「Airport快特」之外，所有車種在淺草線內都是各站停車
- 往西馬込方向的列車較少，可在泉岳寺站換車
- 車種複雜但只需注意目的地，不需擔心車種","undefined,搭車秘訣,tip","tip"
"","基本資訊","- 日文名稱：舞浜駅
- 性質：東京迪士尼度假區最近的車站","undefined,基本資訊,info","info"
"","可搭乘路線","- JR京葉線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- 從東京車站搭京葉線約15分鐘
- 東京車站京葉線月台在地下5樓，距離其他月台非常遠
- 從東京車站其他月台走到京葉線月台約14-20分鐘
- 找「京葉ストリート」看板，經過三段長手扶梯即達月台","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：品川駅
- 性質：東京南部的門戶，東海道新幹線、JR 在來線與京急線的大型交會點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **新幹線**：東海道新幹線、山陽新幹線
- **JR線**：山手線、京濱東北線、東海道線、橫須賀線、總武快速線、成田 EXPRESS
- **私鐵**：京急本線（往羽田機場、橫濱方向）","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **新幹線 ⇄ JR 在來線**：
  - 全在日本最便利的新幹線轉乘站之一。
  - 新幹線月台與 JR 月台在同一平面，僅需通過「新幹線轉乘閘門」即可，步行約 2-3 分鐘。
  - 相比東京車站（需上下樓層且動線複雜），品川站是更好的新幹線轉乘選擇。
- **JR ⇄ 京急線（往羽田機場）**：
  - **重要**：請利用「JR・京急轉乘閘門」，不需要出站。
  - 閘門位於 2 樓中央走道側。
  - 往羽田機場的京急列車通常在 1 號月台。
- **橫須賀線 / 總武快速線**：
  - 月台位於車站東側（13-15 號月台），距離西側的京急線較遠，步行需 5 分鐘。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **高輪口 (West Exit)**：往京急百貨、品川王子大飯店、水族館、往羽田機場巴士乘車處。
- **港南口 (East Exit)**：往新幹線乘車處、辦公大樓區、Sony 總部。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：目黑駅
- 性質：品川區與目黑區交界，賞櫻名所目黑川的起點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線
- **地下鐵/私鐵**：東京Metro南北線、都營三田線、東急目黑線（此三線在目黑站直通運轉）","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **JR ⇄ 地下鐵/東急**：
  - JR 月台位於地面（實際上略低於路面），地下鐵/東急月台位於地下。
  - 轉乘需通過閘門並下樓，步行約 3-5 分鐘。
- **南北線、三田線、東急線**：
  - **共用月台**：這三條線在目黑站共用地下月台，轉乘極其簡單，只需確認列車方向。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **西口**：往目黑川（步行約 5 分鐘）、權之助坂商店街。
- **東口**：往東京都庭園美術館、自然教育園。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：五反田駅
- 性質：商業區與美食聚集地，也是往池上線、淺草線的轉乘站。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線
- **地下鐵**：都營淺草線
- **私鐵**：東急池上線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **JR ⇄ 東急池上線**：
  - **高架轉乘**：東急五反田站位於 4 樓高架處（高過 JR 月台）。
  - 有專用的轉乘電梯與扶梯，動線非常獨特，約需 3 分鐘。
- **JR ⇄ 淺草線**：
  - 淺草線月台位於地下，需經由地下通道，約需 5 分鐘。","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：大崎駅
- 性質：山手線大站，埼京線、臨海線的起終點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、埼京線、湘南新宿線
- **私鐵**：東京臨海高速鐵道 (Rinkai Line)","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **埼京線 ⇄ 臨海線**：
  - 兩線在此直通運轉，通常在同一月台（5-8 號月台），轉乘最快只需 0 分鐘（同一台車）。
- **山手線轉乘**：
  - 山手線在此分為「內迴」與「外迴」，由於是車輛基地所在地，部分列車會在此站終止服務或重新出發。","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：神田駅
- 性質：傳統商業街、古書街入口，JR 與銀座線的高速轉乘點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線、中央線
- **地下鐵**：東京Metro銀座線","undefined,可搭乘路線,tip","tip"
